order_id,order_date,customer_id,region,product_id,product_name,category,unit_price,quantity,discount,revenue
O0001,2026-08-01,C038,East,P007,Desk Lamp,Home,1100,1,0,1100
O0002,2026-02-23,C075,South,P004,Yoga Mat,Sports,900,1,0,900
O0003,2026-04-06,C080,West,P008,Notebook Set,Stationery,450,1,0.1,405.0
O0004,2026-05-04,C074,West,P003,Running Shoes,Sports,2600,3,0,7800
O0005,2026-06-10,C020,North,P005,Backpack,Lifestyle,1500,3,0.1,4050.0
O0006,2026-03-05,C093,North,P004,Yoga Mat,Sports,900,1,0.15,765.0
O0007,2026-05-22,C026,West,P007,Desk Lamp,Home,1100,3,0.1,2970.0
O0008,2026-01-21,C054,West,P001,Wireless Earbuds,Electronics,1800,1,0,1800
O0009,2026-05-12,C033,West,P004,Yoga Mat,Sports,900,2,0.05,1710.0
O0010,2026-03-07,C054,West,P008,Notebook Set,Stationery,450,1,0,450
O0011,2026-08-26,C093,North,P002,Power Bank,Electronics,1200,1,0.05,1140.0
O0012,2026-05-24,C084,West,P002,Power Bank,Electronics,1200,1,0,1200
O0013,2026-07-11,C003,West,P002,Power Bank,Electronics,1200,1,0.05,1140.0
O0014,2026-03-05,C008,North,P001,Wireless Earbuds,Electronics,1800,1,0,1800
O0015,2026-05-16,C074,West,P003,Running Shoes,Sports,2600,1,0,2600
O0016,2026-08-17,C058,North,P006,Water Bottle,Lifestyle,700,2,0.15,1190.0
O0017,2026-05-14,C075,South,P003,Running Shoes,Sports,2600,2,0,5200
O0018,2026-05-02,C046,East,P005,Backpack,Lifestyle,1500,4,0,6000
O0019,2026-06-03,C082,North,P002,Power Bank,Electronics,1200,1,0.15,1020.0
O0020,2026-03-21,C041,North,P003,Running Shoes,Sports,2600,5,0,13000
O0021,2026-04-26,C070,North,P006,Water Bottle,Lifestyle,700,2,0.15,1190.0
O0022,2026-07-08,C091,South,P003,Running Shoes,Sports,2600,2,0,5200
O0023,2026-04-01,C011,South,P008,Notebook Set,Stationery,450,3,0.05,1282.5
O0024,2026-07-22,C004,South,P008,Notebook Set,Stationery,450,2,0.1,810.0
O0025,2026-06-19,C049,North,P007,Desk Lamp,Home,1100,2,0.1,1980.0
O0026,2026-01-19,C011,South,P002,Power Bank,Electronics,1200,2,0,2400
O0027,2026-08-14,C054,West,P006,Water Bottle,Lifestyle,700,1,0.15,595.0
O0028,2026-06-27,C075,South,P008,Notebook Set,Stationery,450,1,0.1,405.0
O0029,2026-01-22,C067,North,P001,Wireless Earbuds,Electronics,1800,1,0,1800
O0030,2026-05-04,C003,West,P004,Yoga Mat,Sports,900,4,0,3600
O0031,2026-05-08,C100,East,P008,Notebook Set,Stationery,450,1,0,450
O0032,2026-04-05,C039,South,P003,Running Shoes,Sports,2600,2,0,5200
O0033,2026-05-13,C022,South,P006,Water Bottle,Lifestyle,700,2,0.05,1330.0
O0034,2026-05-08,C031,North,P006,Water Bottle,Lifestyle,700,1,0,700
O0035,2026-02-20,C082,North,P007,Desk Lamp,Home,1100,3,0,3300
O0036,2026-08-14,C028,South,P007,Desk Lamp,Home,1100,1,0,1100
O0037,2026-02-23,C018,North,P003,Running Shoes,Sports,2600,1,0,2600
O0038,2026-07-02,C009,West,P005,Backpack,Lifestyle,1500,3,0,4500
O0039,2026-04-26,C061,East,P005,Backpack,Lifestyle,1500,4,0.05,5700.0
O0040,2026-04-08,C081,West,P008,Notebook Set,Stationery,450,2,0.15,765.0
O0041,2026-08-03,C080,West,P008,Notebook Set,Stationery,450,1,0,450
O0042,2026-03-13,C078,South,P001,Wireless Earbuds,Electronics,1800,2,0,3600
O0043,2026-05-27,C046,East,P005,Backpack,Lifestyle,1500,2,0.1,2700.0
O0044,2026-01-05,C083,West,P003,Running Shoes,Sports,2600,1,0,2600
O0045,2026-01-07,C099,North,P005,Backpack,Lifestyle,1500,1,0,1500
O0046,2026-07-23,C007,South,P002,Power Bank,Electronics,1200,1,0.15,1020.0
O0047,2026-05-18,C084,West,P006,Water Bottle,Lifestyle,700,4,0.15,2380.0
O0048,2026-02-20,C026,West,P008,Notebook Set,Stationery,450,1,0.15,382.5
O0049,2026-01-03,C097,West,P008,Notebook Set,Stationery,450,2,0,900
O0050,2026-02-15,C029,East,P005,Backpack,Lifestyle,1500,2,0.1,2700.0
O0051,2026-06-28,C067,North,P003,Running Shoes,Sports,2600,1,0.15,2210.0
O0052,2026-08-20,C029,East,P002,Power Bank,Electronics,1200,1,0.15,1020.0
O0053,2026-04-10,C017,North,P008,Notebook Set,Stationery,450,1,0.15,382.5
O0054,2026-08-16,C001,West,P007,Desk Lamp,Home,1100,2,0.15,1870.0
O0055,2026-08-14,C065,North,P006,Water Bottle,Lifestyle,700,1,0.15,595.0
O0056,2026-02-22,C013,North,P002,Power Bank,Electronics,1200,1,0.05,1140.0
O0057,2026-01-23,C040,East,P006,Water Bottle,Lifestyle,700,1,0.15,595.0
O0058,2026-08-08,C003,West,P006,Water Bottle,Lifestyle,700,2,0,1400
O0059,2026-04-23,C044,West,P007,Desk Lamp,Home,1100,2,0.05,2090.0
O0060,2026-08-24,C004,South,P004,Yoga Mat,Sports,900,3,0,2700
O0061,2026-04-20,C005,South,P003,Running Shoes,Sports,2600,2,0.15,4420.0
O0062,2026-07-21,C018,North,P008,Notebook Set,Stationery,450,1,0.1,405.0
O0063,2026-08-19,C093,North,P008,Notebook Set,Stationery,450,4,0.05,1710.0
O0064,2026-05-29,C089,North,P002,Power Bank,Electronics,1200,2,0.05,2280.0
O0065,2026-05-15,C072,North,P005,Backpack,Lifestyle,1500,3,0.1,4050.0
O0066,2026-06-13,C022,South,P005,Backpack,Lifestyle,1500,1,0.05,1425.0
O0067,2026-08-05,C079,South,P004,Yoga Mat,Sports,900,1,0,900
O0068,2026-05-20,C068,South,P005,Backpack,Lifestyle,1500,2,0,3000
O0069,2026-04-16,C069,South,P002,Power Bank,Electronics,1200,2,0.1,2160.0
O0070,2026-04-07,C004,South,P001,Wireless Earbuds,Electronics,1800,2,0.05,3420.0
O0071,2026-05-20,C073,West,P002,Power Bank,Electronics,1200,1,0.15,1020.0
O0072,2026-02-12,C009,West,P008,Notebook Set,Stationery,450,1,0.05,427.5
O0073,2026-03-10,C032,North,P008,Notebook Set,Stationery,450,1,0,450
O0074,2026-04-22,C061,East,P006,Water Bottle,Lifestyle,700,1,0.05,665.0
O0075,2026-06-08,C004,South,P005,Backpack,Lifestyle,1500,1,0,1500
O0076,2026-01-10,C025,East,P003,Running Shoes,Sports,2600,1,0.15,2210.0
O0077,2026-03-14,C042,North,P006,Water Bottle,Lifestyle,700,1,0.05,665.0
O0078,2026-01-27,C064,East,P002,Power Bank,Electronics,1200,3,0.1,3240.0
O0079,2026-03-06,C092,West,P004,Yoga Mat,Sports,900,2,0.05,1710.0
O0080,2026-01-06,C049,North,P007,Desk Lamp,Home,1100,3,0.1,2970.0
O0081,2026-02-10,C069,South,P004,Yoga Mat,Sports,900,3,0.1,2430.0
O0082,2026-06-13,C028,South,P004,Yoga Mat,Sports,900,3,0.1,2430.0
O0083,2026-05-31,C018,North,P004,Yoga Mat,Sports,900,3,0.15,2295.0
O0084,2026-07-27,C045,North,P003,Running Shoes,Sports,2600,1,0,2600
O0085,2026-08-17,C025,East,P004,Yoga Mat,Sports,900,2,0,1800
O0086,2026-08-16,C013,North,P003,Running Shoes,Sports,2600,3,0,7800
O0087,2026-07-06,C012,North,P005,Backpack,Lifestyle,1500,1,0.05,1425.0
O0088,2026-08-02,C054,West,P003,Running Shoes,Sports,2600,1,0.15,2210.0
O0089,2026-06-25,C003,West,P002,Power Bank,Electronics,1200,1,0.15,1020.0
O0090,2026-04-02,C047,West,P002,Power Bank,Electronics,1200,2,0.15,2040.0
O0091,2026-07-14,C044,West,P004,Yoga Mat,Sports,900,3,0.05,2565.0
O0092,2026-01-28,C004,South,P001,Wireless Earbuds,Electronics,1800,2,0.1,3240.0
O0093,2026-05-12,C073,West,P008,Notebook Set,Stationery,450,1,0,450
O0094,2026-01-30,C027,South,P003,Running Shoes,Sports,2600,3,0,7800
O0095,2026-08-26,C087,East,P002,Power Bank,Electronics,1200,2,0,2400
O0096,2026-06-24,C060,East,P002,Power Bank,Electronics,1200,2,0,2400
O0097,2026-04-11,C060,East,P007,Desk Lamp,Home,1100,2,0.05,2090.0
O0098,2026-02-23,C077,West,P006,Water Bottle,Lifestyle,700,1,0.15,595.0
O0099,2026-01-11,C026,West,P003,Running Shoes,Sports,2600,1,0,2600
O0100,2026-07-09,C048,North,P007,Desk Lamp,Home,1100,4,0.1,3960.0
O0101,2026-02-12,C013,North,P001,Wireless Earbuds,Electronics,1800,1,0,1800
O0102,2026-07-25,C091,South,P007,Desk Lamp,Home,1100,2,0,2200
O0103,2026-05-10,C075,South,P006,Water Bottle,Lifestyle,700,3,0,2100
O0104,2026-03-13,C015,West,P003,Running Shoes,Sports,2600,3,0.05,7410.0
O0105,2026-02-04,C043,North,P006,Water Bottle,Lifestyle,700,2,0,1400
O0106,2026-04-14,C027,South,P003,Running Shoes,Sports,2600,1,0,2600
O0107,2026-03-19,C061,East,P002,Power Bank,Electronics,1200,1,0,1200
O0108,2026-06-13,C080,West,P001,Wireless Earbuds,Electronics,1800,1,0.15,1530.0
O0109,2026-03-18,C044,West,P004,Yoga Mat,Sports,900,2,0.1,1620.0
O0110,2026-02-16,C069,South,P002,Power Bank,Electronics,1200,1,0.05,1140.0
O0111,2026-06-14,C028,South,P002,Power Bank,Electronics,1200,2,0.1,2160.0
O0112,2026-01-06,C015,West,P002,Power Bank,Electronics,1200,2,0,2400
O0113,2026-04-24,C052,South,P001,Wireless Earbuds,Electronics,1800,2,0.15,3060.0
O0114,2026-04-07,C002,West,P002,Power Bank,Electronics,1200,1,0,1200
O0115,2026-08-20,C044,West,P007,Desk Lamp,Home,1100,4,0.1,3960.0
O0116,2026-08-05,C013,North,P008,Notebook Set,Stationery,450,3,0,1350
O0117,2026-05-21,C077,West,P001,Wireless Earbuds,Electronics,1800,1,0,1800
O0118,2026-04-09,C061,East,P003,Running Shoes,Sports,2600,3,0.1,7020.0
O0119,2026-06-06,C077,West,P001,Wireless Earbuds,Electronics,1800,1,0.05,1710.0
O0120,2026-04-18,C037,East,P007,Desk Lamp,Home,1100,2,0,2200
O0121,2026-05-16,C037,East,P008,Notebook Set,Stationery,450,2,0.1,810.0
O0122,2026-08-26,C037,East,P005,Backpack,Lifestyle,1500,1,0,1500
O0123,2026-05-30,C006,West,P003,Running Shoes,Sports,2600,1,0.15,2210.0
O0124,2026-04-10,C007,South,P006,Water Bottle,Lifestyle,700,2,0,1400
O0125,2026-05-29,C093,North,P006,Water Bottle,Lifestyle,700,1,0,700
O0126,2026-04-20,C093,North,P008,Notebook Set,Stationery,450,1,0,450
O0127,2026-01-12,C067,North,P002,Power Bank,Electronics,1200,4,0.15,4080.0
O0128,2026-08-21,C060,East,P003,Running Shoes,Sports,2600,4,0,10400
O0129,2026-06-04,C091,South,P002,Power Bank,Electronics,1200,1,0.05,1140.0
O0130,2026-04-27,C016,South,P004,Yoga Mat,Sports,900,3,0,2700
O0131,2026-05-16,C020,North,P002,Power Bank,Electronics,1200,1,0,1200
O0132,2026-06-20,C054,West,P008,Notebook Set,Stationery,450,2,0.15,765.0
O0133,2026-05-30,C088,East,P007,Desk Lamp,Home,1100,1,0.15,935.0
O0134,2026-05-16,C018,North,P005,Backpack,Lifestyle,1500,2,0,3000
O0135,2026-05-04,C015,West,P005,Backpack,Lifestyle,1500,2,0.1,2700.0
O0136,2026-08-05,C046,East,P005,Backpack,Lifestyle,1500,1,0.15,1275.0
O0137,2026-07-05,C073,West,P004,Yoga Mat,Sports,900,2,0,1800
O0138,2026-02-18,C032,North,P004,Yoga Mat,Sports,900,3,0,2700
O0139,2026-06-10,C008,North,P001,Wireless Earbuds,Electronics,1800,1,0.05,1710.0
O0140,2026-01-07,C080,West,P001,Wireless Earbuds,Electronics,1800,1,0.1,1620.0
O0141,2026-03-13,C010,East,P002,Power Bank,Electronics,1200,3,0,3600
O0142,2026-05-21,C031,North,P006,Water Bottle,Lifestyle,700,1,0,700
O0143,2026-02-23,C044,West,P006,Water Bottle,Lifestyle,700,1,0,700
O0144,2026-08-03,C010,East,P002,Power Bank,Electronics,1200,1,0.1,1080.0
O0145,2026-08-03,C099,North,P004,Yoga Mat,Sports,900,1,0.15,765.0
O0146,2026-03-08,C050,North,P003,Running Shoes,Sports,2600,1,0.15,2210.0
O0147,2026-08-03,C077,West,P006,Water Bottle,Lifestyle,700,1,0.15,595.0
O0148,2026-07-31,C024,West,P007,Desk Lamp,Home,1100,2,0.1,1980.0
O0149,2026-01-25,C060,East,P006,Water Bottle,Lifestyle,700,1,0,700
O0150,2026-04-21,C073,West,P008,Notebook Set,Stationery,450,3,0.05,1282.5
O0151,2026-03-18,C100,East,P001,Wireless Earbuds,Electronics,1800,1,0,1800
O0152,2026-08-22,C085,South,P002,Power Bank,Electronics,1200,2,0.05,2280.0
O0153,2026-07-05,C098,East,P006,Water Bottle,Lifestyle,700,1,0,700
O0154,2026-02-26,C046,East,P006,Water Bottle,Lifestyle,700,1,0,700
O0155,2026-03-24,C091,South,P008,Notebook Set,Stationery,450,2,0.15,765.0
O0156,2026-08-22,C036,North,P008,Notebook Set,Stationery,450,2,0,900
O0157,2026-04-28,C041,North,P004,Yoga Mat,Sports,900,1,0.15,765.0
O0158,2026-08-18,C067,North,P004,Yoga Mat,Sports,900,1,0,900
O0159,2026-01-07,C047,West,P007,Desk Lamp,Home,1100,2,0,2200
O0160,2026-07-09,C073,West,P006,Water Bottle,Lifestyle,700,2,0.1,1260.0
O0161,2026-02-09,C076,South,P003,Running Shoes,Sports,2600,1,0.05,2470.0
O0162,2026-08-14,C037,East,P001,Wireless Earbuds,Electronics,1800,1,0,1800
O0163,2026-05-20,C021,South,P005,Backpack,Lifestyle,1500,4,0.15,5100.0
O0164,2026-08-04,C055,West,P002,Power Bank,Electronics,1200,2,0,2400
O0165,2026-07-21,C070,North,P002,Power Bank,Electronics,1200,1,0,1200
O0166,2026-07-08,C014,West,P006,Water Bottle,Lifestyle,700,1,0.15,595.0
O0167,2026-06-17,C019,North,P002,Power Bank,Electronics,1200,2,0.15,2040.0
O0168,2026-04-19,C032,North,P004,Yoga Mat,Sports,900,1,0.1,810.0
O0169,2026-03-28,C098,East,P008,Notebook Set,Stationery,450,1,0,450
O0170,2026-07-26,C043,North,P003,Running Shoes,Sports,2600,1,0.1,2340.0
O0171,2026-07-26,C093,North,P002,Power Bank,Electronics,1200,2,0,2400
O0172,2026-04-16,C097,West,P006,Water Bottle,Lifestyle,700,3,0.05,1995.0
O0173,2026-08-02,C012,North,P008,Notebook Set,Stationery,450,4,0.15,1530.0
O0174,2026-01-07,C068,South,P006,Water Bottle,Lifestyle,700,2,0,1400
O0175,2026-04-18,C054,West,P003,Running Shoes,Sports,2600,1,0,2600
O0176,2026-06-12,C049,North,P003,Running Shoes,Sports,2600,1,0.05,2470.0
O0177,2026-04-19,C068,South,P005,Backpack,Lifestyle,1500,1,0,1500
O0178,2026-05-01,C040,East,P002,Power Bank,Electronics,1200,1,0,1200
O0179,2026-07-18,C023,North,P001,Wireless Earbuds,Electronics,1800,2,0,3600
O0180,2026-05-30,C062,North,P001,Wireless Earbuds,Electronics,1800,1,0,1800
O0181,2026-02-17,C046,East,P004,Yoga Mat,Sports,900,2,0.1,1620.0
O0182,2026-07-03,C061,East,P004,Yoga Mat,Sports,900,1,0,900
O0183,2026-04-14,C023,North,P005,Backpack,Lifestyle,1500,2,0.1,2700.0
O0184,2026-05-03,C034,East,P008,Notebook Set,Stationery,450,3,0,1350
O0185,2026-06-19,C071,North,P002,Power Bank,Electronics,1200,1,0,1200
O0186,2026-04-13,C007,South,P004,Yoga Mat,Sports,900,4,0.05,3420.0
O0187,2026-05-16,C067,North,P005,Backpack,Lifestyle,1500,2,0,3000
O0188,2026-06-18,C031,North,P001,Wireless Earbuds,Electronics,1800,3,0,5400
O0189,2026-04-26,C032,North,P007,Desk Lamp,Home,1100,2,0,2200
O0190,2026-04-17,C021,South,P006,Water Bottle,Lifestyle,700,1,0.1,630.0
O0191,2026-02-03,C082,North,P005,Backpack,Lifestyle,1500,2,0,3000
O0192,2026-02-08,C074,West,P003,Running Shoes,Sports,2600,1,0,2600
O0193,2026-07-30,C017,North,P002,Power Bank,Electronics,1200,1,0.1,1080.0
O0194,2026-07-03,C068,South,P002,Power Bank,Electronics,1200,3,0.15,3060.0
O0195,2026-04-30,C011,South,P005,Backpack,Lifestyle,1500,1,0,1500
O0196,2026-04-17,C025,East,P002,Power Bank,Electronics,1200,2,0.05,2280.0
O0197,2026-02-23,C005,South,P007,Desk Lamp,Home,1100,2,0,2200
O0198,2026-08-01,C040,East,P006,Water Bottle,Lifestyle,700,1,0,700
O0199,2026-05-23,C040,East,P008,Notebook Set,Stationery,450,2,0,900
O0200,2026-04-03,C010,East,P003,Running Shoes,Sports,2600,1,0.05,2470.0
O0201,2026-06-23,C060,East,P002,Power Bank,Electronics,1200,2,0,2400
O0202,2026-08-10,C049,North,P008,Notebook Set,Stationery,450,1,0.1,405.0
O0203,2026-01-30,C059,South,P001,Wireless Earbuds,Electronics,1800,3,0.15,4590.0
O0204,2026-02-22,C079,South,P003,Running Shoes,Sports,2600,1,0.05,2470.0
O0205,2026-08-28,C070,North,P005,Backpack,Lifestyle,1500,4,0.05,5700.0
O0206,2026-05-23,C086,North,P002,Power Bank,Electronics,1200,1,0,1200
O0207,2026-04-07,C094,North,P002,Power Bank,Electronics,1200,1,0,1200
O0208,2026-05-25,C061,East,P006,Water Bottle,Lifestyle,700,1,0.05,665.0
O0209,2026-01-24,C014,West,P003,Running Shoes,Sports,2600,2,0,5200
O0210,2026-06-23,C081,West,P003,Running Shoes,Sports,2600,1,0.05,2470.0
O0211,2026-01-10,C060,East,P002,Power Bank,Electronics,1200,1,0,1200
O0212,2026-02-10,C016,South,P007,Desk Lamp,Home,1100,1,0,1100
O0213,2026-03-29,C055,West,P003,Running Shoes,Sports,2600,2,0,5200
O0214,2026-07-30,C089,North,P007,Desk Lamp,Home,1100,1,0.05,1045.0
O0215,2026-06-09,C002,West,P007,Desk Lamp,Home,1100,2,0,2200
O0216,2026-07-21,C032,North,P001,Wireless Earbuds,Electronics,1800,1,0,1800
O0217,2026-03-29,C040,East,P008,Notebook Set,Stationery,450,1,0.05,427.5
O0218,2026-02-22,C066,West,P006,Water Bottle,Lifestyle,700,2,0,1400
O0219,2026-06-06,C092,West,P003,Running Shoes,Sports,2600,1,0.1,2340.0
O0220,2026-08-20,C039,South,P004,Yoga Mat,Sports,900,1,0.1,810.0
O0221,2026-05-12,C019,North,P004,Yoga Mat,Sports,900,5,0.1,4050.0
O0222,2026-07-03,C091,South,P004,Yoga Mat,Sports,900,2,0,1800
O0223,2026-06-10,C085,South,P004,Yoga Mat,Sports,900,2,0,1800
O0224,2026-03-04,C062,North,P007,Desk Lamp,Home,1100,2,0,2200
O0225,2026-01-24,C047,West,P005,Backpack,Lifestyle,1500,1,0,1500
O0226,2026-04-26,C094,North,P003,Running Shoes,Sports,2600,1,0.1,2340.0
O0227,2026-05-20,C070,North,P002,Power Bank,Electronics,1200,2,0,2400
O0228,2026-02-13,C096,South,P006,Water Bottle,Lifestyle,700,2,0,1400
O0229,2026-08-28,C001,West,P005,Backpack,Lifestyle,1500,2,0,3000
O0230,2026-03-03,C098,East,P006,Water Bottle,Lifestyle,700,3,0,2100
O0231,2026-06-02,C071,North,P002,Power Bank,Electronics,1200,1,0.05,1140.0
O0232,2026-02-16,C085,South,P003,Running Shoes,Sports,2600,1,0.15,2210.0
